player_id,year,hometown,homestate,high_school,previous_school_clean,year_clean,hs_clean,hometown_clean,state_clean,country_clean
9598,Freshman,Milwaukee,Wis,Greendale,,Freshman,Greendale,"MILWAUKEE, WIS",WI,USA
9599,Freshman,Kingsford,Mich,Kingsford,,Freshman,Kingsford,"KINGSFORD, MICH",MI,USA
9578,Sophomore,South Milwaukee,Wis,Cudahy,,Sophomore,Cudahy,"SOUTH MILWAUKEE, WIS",WI,USA
9572,Sophomore,Stanton,Mich,Greenville,,Sophomore,Greenville,"STANTON, MICH",MI,USA
9600,Freshman,Sheboygan,Wis,Sheboygan North,,Freshman,Sheboygan North,"SHEBOYGAN, WIS",WI,USA
9601,Freshman,Kenosha,Wis,Kenosha Indian Trail,,Freshman,Kenosha Indian Trail,"KENOSHA, WIS",WI,USA
9583,Junior,Flint,Mich,Kearsley,,Junior,Kearsley,"FLINT, MICH",MI,USA
9602,Junior,Hermansville,Mich,North Central,,Junior,North Central,"HERMANSVILLE, MICH",MI,USA
9603,Freshman,Pewaukee,Wis,Pewaukee,,Freshman,Pewaukee,"PEWAUKEE, WIS",WI,USA
9604,Freshman,Schoolcraft,Mich,Schoolcraft,,Freshman,Schoolcraft,"SCHOOLCRAFT, MICH",MI,USA
9571,Junior,Weyauwega,Wis,Weyauwega-Fremont,,Junior,Weyauwega-Fremont,"WEYAUWEGA, WIS",WI,USA
9573,Junior,Monroe,Wis,Monroe,,Junior,Monroe,"MONROE, WIS",WI,USA
9576,Senior,Cedar Grove,Wis,Cedar Grove-Belgium,,Senior,Cedar Grove-Belgium,"CEDAR GROVE, WIS",WI,USA
6355,Sophomore,Toledo,Ohio,Notre Dame Academy,New Mexico Highlands,Sophomore,Notre Dame Academy,"TOLEDO, OHIO",OH,USA
6337,Junior,Westerville,Ohio,St. Francis DeSales,,Junior,St. Francis DeSales,"WESTERVILLE, OHIO",OH,USA
6343,Sophomore,Fredericksburg,Ohio,Waynedale,,Sophomore,Waynedale,"FREDERICKSBURG, OHIO",OH,USA
6350,Freshman,Pittsburgh,Pennsylvania,Obama Academy of Baccalaureate Studies,,Freshman,Obama Academy of Baccalaureate Studies,"PITTSBURGH, PA",PA,USA
6348,Freshman,Painesville,Ohio,Riverside,,Freshman,Riverside,"PAINESVILLE, OHIO",OH,USA
6351,Junior,Plain City,Ohio,Jonathan Alder,Tiffin,Junior,Jonathan Alder,"PLAIN CITY, OHIO",OH,USA
6335,Senior,Plain City,Ohio,Dublin Jerome,,Senior,Dublin Jerome,"PLAIN CITY, OHIO",OH,USA
6344,Sophomore,Beaver,Pennsylvania,Beaver Area,,Sophomore,Beaver Area,"BEAVER, PA",PA,USA
6345,Sophomore,Beaver,Pennsylvania,Beaver Area,,Sophomore,Beaver Area,"BEAVER, PA",PA,USA
6336,Junior,Lancaster,Ohio,Fairfield Union,,Junior,Fairfield Union,"LANCASTER, OHIO",OH,USA
6354,Sophomore,Hilliard,Ohio,Davidson HS,Tiffin,Sophomore,Davidson HS,"HILLIARD, OHIO",OH,USA
6338,Senior,Cedarville,Ohio,Cedarville,,Senior,Cedarville,"CEDARVILLE, OHIO",OH,USA
6342,Senior,New London,Ohio,New London,,Senior,New London,"NEW LONDON, OHIO",OH,USA
6349,Freshman,Ashville,Ohio,Teays Valley,,Freshman,Teays Valley,"ASHVILLE, OHIO",OH,USA
6353,Freshman,Cleveland,Ohio,Trinity,,Freshman,Trinity,"CLEVELAND, OHIO",OH,USA
6339,Junior,Cincinnati,Ohio,Mercy-McAuley,,Junior,Mercy-McAuley,"CINCINNATI, OHIO",OH,USA
6340,Sophomore,Marion,Ohio,Harding,,Sophomore,Harding,"MARION, OHIO",OH,USA
16829,Fr.,Twin Falls,Idaho,Canyon Ridge,,Freshman,Canyon Ridge,"TWIN FALLS, IDAHO",ID,USA
16830,Fr.,Twin Falls,Idaho,Canyon Ridge,,Freshman,Canyon Ridge,"TWIN FALLS, IDAHO",ID,USA
16831,Fr.,Renton,Wash,Liberty,,Freshman,Liberty,"RENTON, WASH",WA,USA
16832,Fr.,Port Angeles,Wash,Port Angeles,,Freshman,Port Angeles,"PORT ANGELES, WASH",WA,USA
16833,Fr.,Silverdale,Wash,Klahowya Secondary,,Freshman,Klahowya Secondary,"SILVERDALE, WASH",WA,USA
16834,So.,Auburn,Wash,Bellarmine Prep,,Sophomore,Bellarmine Prep,"AUBURN, WASH",WA,USA
16835,Sr.,Tigard,Ore,Tigard,,Senior,Tigard,"TIGARD, ORE",OR,USA
16836,So.,Auburn,Wash,Bellarmine Prep,,Sophomore,Bellarmine Prep,"AUBURN, WASH",WA,USA
16837,Fr.,Vancouver,Wash,King's Way Christian,,Freshman,King's Way Christian,"VANCOUVER, WASH",WA,USA
16838,So.,Corvallis,Ore,Corvallis,,Sophomore,Corvallis,"CORVALLIS, ORE",OR,USA
16839,Sr.,Portland,Ore,Lincoln,,Senior,Lincoln,"PORTLAND, ORE",OR,USA
16840,Sr.,Woodinville,Wash,Woodinville,,Senior,Woodinville,"WOODINVILLE, WASH",WA,USA
16841,Sr.,Tenino,Wash,Tenino,South Puget Sound C.C.,Senior,Tenino,"TENINO, WASH",WA,USA
16842,Jr.,Walla Walla,Wash,Walla Walla,,Junior,Walla Walla,"WALLA WALLA, WASH",WA,USA
16843,So.,Snohomish,Wash,Glacier Peak,,Sophomore,Glacier Peak,"SNOHOMISH, WASH",WA,USA
16844,Sr.,Santa Cruz,Calif,St. Francis Salesian Prep,,Senior,St. Francis Salesian Prep,"SANTA CRUZ, CALIF",CA,USA
16845,So.,Yakima,Wash,West Valley,,Sophomore,West Valley,"YAKIMA, WASH",WA,USA
2177,First-Year,Loveland,Colo,Thompson Valley,,Freshman,Thompson Valley,"LOVELAND, COLO",CO,USA
2172,Sophomore,Minneapolis,Minn,DeLaSalle,,Sophomore,DeLaSalle,"MINNEAPOLIS, MINN",MN,USA
2237,Junior,Maple Grove,Minn,Osseo,,Junior,Osseo,"MAPLE GROVE, MINN",MN,USA
2174,Senior,Richfield,Minn,Benilde St.-Margaret's,,Senior,Benilde St.-Margaret's,"RICHFIELD, MINN",MN,USA
2173,Sophomore,Oslo,Norway,Nydalen,,Sophomore,Nydalen,"OSLO, NORWAY",,NORWAY
2167,Junior,Minneapolis,Minn,Washburn,,Junior,Washburn,"MINNEAPOLIS, MINN",MN,USA
2175,First-Year,Blaine,Minn,Irondale,,Freshman,Irondale,"BLAINE, MINN",MN,USA
2176,First-Year,Holyoke,Mass,Northfield Mount Hermon,,Freshman,Northfield Mount Hermon,"HOLYOKE, MASS",MA,USA
2170,Junior,Prior Lake,Minn,Academy of Holy Angels,,Junior,Academy of Holy Angels,"PRIOR LAKE, MINN",MN,USA
2169,Senior,Seattle,Wash,Lakeside,,Senior,Lakeside,"SEATTLE, WASH",WA,USA
2168,Sophomore,Tualatin,Ore,Tualatin,,Sophomore,Tualatin,"TUALATIN, ORE",OR,USA
2637,Junior,Irwin,Pennsylvania,Greensburg Central Catholic,,Junior,Greensburg Central Catholic,"IRWIN, PA",PA,USA
2635,Sophomore,North Huntingdon,Pennsylvania,Greensburg Central Catholic,,Sophomore,Greensburg Central Catholic,"NORTH HUNTINGDON, PA",PA,USA
2632,Freshman,Jefferson,"Hill, PA",Thomas Jefferson,,Freshman,Thomas Jefferson,"JEFFERSON, HILL, PA",PA,USA
2628,Freshman,Bentleyville,Pennsylvania,Bentworth,,Freshman,Bentworth,"BENTLEYVILLE, PA",PA,USA
2627,Freshman,Hampton,Pennsylvania,Hampton,,Freshman,Hampton,"HAMPTON, PA",PA,USA
2639,Senior,Forest Hills,Pennsylvania,Cornerstone Prep,,Senior,Cornerstone Prep,"FOREST HILLS, PA",PA,USA
2631,Freshman,Derry,Pennsylvania,Derry Area,,Freshman,Derry Area,"DERRY, PA",PA,USA
2640,Senior,Shelocta,Pennsylvania,Apollo-Ridge,,Senior,Apollo-Ridge,"SHELOCTA, PA",PA,USA
2630,Freshman,Graysville,Pennsylvania,West Greene,,Freshman,West Greene,"GRAYSVILLE, PA",PA,USA
2636,Senior,Blairsville,Pennsylvania,Blairsville,,Senior,Blairsville,"BLAIRSVILLE, PA",PA,USA
2638,Senior,Whitehall,Pennsylvania,Baldwin,,Senior,Baldwin,"WHITEHALL, PA",PA,USA
2629,Freshman,Indiana,Pennsylvania,Purchase Line,,Freshman,Purchase Line,"INDIANA, PA",PA,USA
14526,Sophomore,Arcadia,Wis,Arcadia,,Sophomore,Arcadia,"ARCADIA, WIS",WI,USA
14536,Freshman,Verona,Wis,Verona,,Freshman,Verona,"VERONA, WIS",WI,USA
14524,Graduate Student,Oconomowoc,Wis,Catholic Memorial,,Graduate Student,Catholic Memorial,"OCONOMOWOC, WIS",WI,USA
14523,Senior,New London,Wis,New London,,Senior,New London,"NEW LONDON, WIS",WI,USA
14525,Senior,Racine,Wis,The Prairie School,,Senior,The Prairie School,"RACINE, WIS",WI,USA
14534,Junior,Darlington,Wis,Darlington,,Junior,Darlington,"DARLINGTON, WIS",WI,USA
14530,Senior,Waukesha,Wis,Waukesha South,,Senior,Waukesha South,"WAUKESHA, WIS",WI,USA
14533,Junior,Milwaukee,Wis,Nicolet,,Junior,Nicolet,"MILWAUKEE, WIS",WI,USA
14532,Junior,Waterford,Wis,Waterford,,Junior,Waterford,"WATERFORD, WIS",WI,USA
14537,Freshman,Downers Grove,Ill,Downers Grove North,,Freshman,Downers Grove North,"DOWNERS GROVE, ILL",IL,USA
14528,Sophomore,Germantown,Wis,Germantown,,Sophomore,Germantown,"GERMANTOWN, WIS",WI,USA
14531,Sophomore,Franklin,Wis,Franklin,,Sophomore,Franklin,"FRANKLIN, WIS",WI,USA
14527,Senior,Johnsburg,Ill,Johnsburg,,Senior,Johnsburg,"JOHNSBURG, ILL",IL,USA
14535,Freshman,Germantown,Wis,Germantown,,Freshman,Germantown,"GERMANTOWN, WIS",WI,USA
