player_id,name,height_clean,height_ft,height_in,total_inches
11356,Reilly Sunday,"5'9""",5,9,69
11349,Singo Lekeuneu,"5'6""",5,6,66
11369,Naelle Bernard,"5'5""",5,5,65
11357,Dea Pushkolli,"5'11""",5,11,71
11354,Lauren Wasylson,"6'0""",6,0,72
11347,Amaya Hamilton,"6'2""",6,2,74
11355,Liv Westphal,"5'9""",5,9,69
11351,Tess Myers,"5'9""",5,9,69
11368,Kaitlyn Ammons,"6'3""",6,3,75
11367,Selma Kulo,"6'4""",6,4,76
11348,Precious Johnson,"6'4""",6,4,76
11370,Ayanna Townsend,"6'2""",6,2,74
3554,Hailey Oskey,"5'10""",5,10,70
3556,Cassie Schiltz,"5'11""",5,11,71
3549,Caelan Givens,"5'10""",5,10,70
3768,Brehna Evans,"5'8""",5,8,68
3560,Natalie McNeal,"5'8""",5,8,68
3548,Callie Genke,"6'0""",6,0,72
3559,Tatum Koenig,"5'7""",5,7,67
3555,Kendall Renard,"6'3""",6,3,75
3552,Jasmine Kondrakiewicz,"6'1""",6,1,73
3547,Bailey Butler,"5'7""",5,7,67
3553,Sydney Levy,"5'8""",5,8,68
3550,Jenna Guyer,"6'2""",6,2,74
3557,Maddy Schreiber,"6'0""",6,0,72
3551,Julia Hartwig,"6'2""",6,2,74
3546,Brooklyn Blackburn,"6'0""",6,0,72
13386,Yasmin Ott,"5'7""",5,7,67
13387,Kelsey Ransom,"5'10""",5,10,70
13381,Teaghan Flaherty,"5'10""",5,10,70
13941,Victoria Rivera,"6'0""",6,0,72
13383,Natalie Jasper,"5'5""",5,5,65
13942,Modesti McConnell,"5'7""",5,7,67
13943,Kennedy Fauntleroy,"5'7""",5,7,67
13944,Jada Claude,"6'0""",6,0,72
13945,Kristina Moore,"6'1""",6,1,73
13388,Brianna Scott,"6'4""",6,4,76
13382,Jazmyn Harmon,"5'8""",5,8,68
13384,Ariel Jenkins,"6'3""",6,3,75
13385,Kaliyah Myricks,"6'2""",6,2,74
13946,Morgan Lee,"6'5""",6,5,77
13380,Graceann Bennett,"6'3""",6,3,75
11727,Madison Mathiowetz,"5'10""",5,10,70
11728,Ellie Colbeck,"5'10""",5,10,70
11731,Dru Gylten,"5'10""",5,10,70
11724,Kallie Theisen,"6'1""",6,1,73
11725,Haleigh Timmer,"5'11""",5,11,71
11721,Tori Nelson,"6'1""",6,1,73
11720,Paige Meyer,"5'6""",5,6,66
11726,Madysen Vlastuin,"6'1""",6,1,73
11719,Mesa Byom,"6'2""",6,2,74
11729,Brooklyn Meyer,"6'2""",6,2,74
11718,Paiton Burckhard,"6'0""",6,0,72
11730,Natalie Nielsen,"6'3""",6,3,75
11722,Regan Nesheim,"6'1""",6,1,73
11723,Myah Selland,"6'1""",6,1,73
8233,Sheslanie Laureano,"5'10""",5,10,70
8238,Nya Robertson,"5'7""",5,7,67
8232,Aurea Gingras,"5'8""",5,8,68
8235,Piper Macke,"5'7""",5,7,67
8234,Nya Lok,"5'11""",5,11,71
8294,Jayla Thornton,"5'10""",5,10,70
8239,Caia Loving,"6'2""",6,2,74
8237,Taylor Webster,"5'10""",5,10,70
8231,Maxine Engel,"6'0""",6,0,72
8240,Mia Lakstigala,"5'11""",5,11,71
8599,Natalia Sierra-Vargas,"5'8""",5,8,68
8229,Faith Blethen,"6'1""",6,1,73
8295,Asjah Inniss,"5'9""",5,9,69
8236,Mayowa Taiwo,"6'0""",6,0,72
8230,Essence Brown,"5'11""",5,11,71
7570,Anastasia Hayes,"5'7""",5,7,67
7602,Ahlana Smith,"5'9""",5,9,69
7572,JerKaila Jordan,"5'9""",5,9,69
7603,Asianae Johnson,"5'8""",5,8,68
7567,Jessika Carter,"6'5""",6,5,77
7569,Alasia Hayes,"5'8""",5,8,68
7568,Aislynn Hayes,"5'6""",5,6,66
7604,Kourtney Weber,"5'10""",5,10,70
7574,Mia Moore,"5'8""",5,8,68
7605,Aniya Palmer,"6'0""",6,0,72
7606,Debreasha Powe,"6'1""",6,1,73
7573,Charlotte Kohl,"6'5""",6,5,77
7607,Ramani Parker,"6'4""",6,4,76
7608,Nyayongah Gony,"6'4""",6,4,76
7566,Denae Carter,"6'0""",6,0,72
43970,Jaz Shelley,"5'9""",5,9,69
43967,Trinity Brady,"5'11""",5,11,71
43971,Allison Weidner,"5'10""",5,10,70
43972,Sam Haiby,"5'9""",5,9,69
43710,Callin Hake,"5'8""",5,8,68
43973,Kendall Moriarty,"6'1""",6,1,73
43974,Annika Stewart,"6'3""",6,3,75
43969,Nailah Dillard,"5'9""",5,9,69
43968,Kendall Coley,"6'2""",6,2,74
43966,Isabelle Bourne,"6'2""",6,2,74
43975,Alexis Markowski,"6'3""",6,3,75
43965,Maddie Krull,"5'9""",5,9,69
43961,Maggie Mendelson,"6'5""",6,5,77
13013,Camille Jackson,"5'11""",5,11,71
13011,Genesis Bryant,"5'6""",5,6,66
13010,Makira Cook,"5'6""",5,6,66
13015,Kam'Ren Rhodes,"5'6""",5,6,66
4003,Tiara Scott,"5'4""",5,4,64
4004,Raya Smith,"5'4""",5,4,64
4007,Paola Roa,"5'7""",5,7,67
4005,Yesenia Smith,"5'6""",5,6,66
4006,Iyanna Lamb,"5'3""",5,3,63
4008,Ashley Orozco,"5'4""",5,4,64
4009,Lily Buggs,"5'9""",5,9,69
4010,Silivia Fonongaloa,"6'1""",6,1,73
4011,Anai Washington,"5'6""",5,6,66
4012,Jada Johnson,"6'0""",6,0,72
4013,Melena Bland,"5'9""",5,9,69
4014,Nicole Flennaugh,"5'7""",5,7,67
4015,Olivia Hodges,"6'0""",6,0,72
4016,Nevaeh Asiasi,"5'8""",5,8,68
4017,Amaya Fuentes,"6'3""",6,3,75
10564,Megan McClendon,"5'6""",5,6,66
10563,Macy McClendon,"6'1""",6,1,73
10736,Kassie Boorer,"5'10""",5,10,70
10565,Brooke Rayner,"5'7""",5,7,67
10737,River Romine,"5'6""",5,6,66
10738,Courtnee Cash,"5'8""",5,8,68
10561,Alayzha Knapp,"6'2""",6,2,74
10559,Tayler Factor,"5'9""",5,9,69
10567,Karly Wadsworth,"5'8""",5,8,68
10562,Aliyah Llanusa,"5'7""",5,7,67
10739,Aspen Williston,"6'4""",6,4,76
10569,Lexi Foreman,"5'9""",5,9,69
10740,Ava Greer,"5'11""",5,11,71
10566,Ginger Reece,"5'11""",5,11,71
10568,Caley Young,"5'11""",5,11,71
10741,Eliana Bravington,"6'3""",6,3,75
7367,Malia Smith,"5'5""",5,5,65
7176,Brinley Hagemeier,"5'6""",5,6,66
7368,Shelby Blodgett,"5'9""",5,9,69
7178,Valerie Huerta,"5'4""",5,4,64
